Query_number,doc_number
1,247327
1,330437
1,28708
1,237264
1,260531
1,109393
1,225127
1,115632
1,103201
1,176918
2,284104
2,428907
2,239433
2,213542
2,51961
2,446730
2,360485
2,69397
2,357228
2,116889
3,412243
3,114937
3,322194
3,184480
3,446120
3,343054
3,218764
3,341983
3,157108
3,465741
4,425159
4,6172
4,301948
4,188739
4,423161
4,77263
4,1179
4,155080
4,220848
4,237477
5,266494
5,228885
5,429555
5,258900
5,322512
5,184719
5,171495
5,341416
5,173278
5,457073
6,248947
6,294577
6,51271
6,80228
6,73557
6,494255
6,342088
6,394539
6,480841
6,418531
7,435493
7,265715
7,250183
7,82172
7,40207
7,494634
7,173088
7,461649
7,247139
7,108290
8,14705
8,109001
8,95204
8,236500
8,192655
8,323435
8,362404
8,242908
8,334887
8,102418
9,102770
9,382221
9,87600
9,95059
9,256318
9,448653
9,496531
9,370662
9,108018
9,165911
10,89072
10,297761
10,288183
10,242805
10,428414
10,174391
10,107176
10,340512
10,485426
10,491219
11,386997
11,275918
11,490237
11,68442
11,80551
11,355334
11,129888
11,455212
11,466378
11,305019
12,3976
12,393641
12,34401
12,374216
12,90379
12,459238
12,329237
12,132754
12,444289
12,267626
13,79603
13,481938
13,148453
13,164486
13,163563
13,143587
13,412373
13,388453
13,212401
13,25787
14,482219
14,463695
14,474792
14,423544
14,131693
14,73491
14,277428
14,210086
14,382539
14,400428
15,442250
15,324887
15,141260
15,53396
15,486918
15,284662
15,11911
15,237381
15,125483
15,90609
16,370938
16,476737
16,116172
16,254776
16,309840
16,41896
16,489793
16,314276
16,234370
16,275660
17,473427
17,448410
17,87738
17,419231
17,124476
17,429186
17,478978
17,146452
17,441253
17,207327
18,426872
18,19726
18,13449
18,223887
18,179059
18,96953
18,350565
18,183857
18,289586
18,484094
19,50831
19,342368
19,5887
19,420615
19,138620
19,51054
19,30236
19,252387
19,378409
19,157554
20,446893
20,79672
20,362713
20,347649
20,441672
20,311161
20,468119
20,144928
20,111003
20,336904
21,389777
21,229100
21,73600
21,438632
21,250951
21,206032
21,369123
21,285447
21,367532
21,155153
22,350825
22,405711
22,329695
22,203340
22,266979
22,257063
22,141837
22,347763
22,84169
22,21698
23,332471
23,92263
23,163112
23,39061
23,258905
23,178352
23,129160
23,58049
23,69888
23,440772
24,451729
24,451396
24,281834
24,167147
24,15626
24,238510
24,320100
24,475757
24,372977
24,394689
25,150286
25,264487
25,100578
25,259798
25,10519
25,276547
25,396027
25,401480
25,242093
25,181510
26,88548
26,486604
26,58478
26,202326
26,94651
26,416437
26,460912
26,31839
26,270436
26,438202
27,88106
27,290689
27,355134
27,133067
27,15083
27,454715
27,437129
27,268658
27,112662
27,60864
28,67638
28,189580
28,204911
28,292675
28,157428
28,199228
28,457684
28,412889
28,473982
28,48039
29,215162
29,134929
29,298278
29,174789
29,49307
29,136718
29,123202
29,13579
29,183536
29,6910
30,398536
30,290351
30,171306
30,351135
30,343204
30,142838
30,413971
30,190429
30,458677
30,403418
31,323226
31,418970
31,65801
31,182994
31,413968
31,193321
31,54204
31,67875
31,263789
31,59466
32,307971
32,323197
32,218470
32,406360
32,82650
32,41366
32,84082
32,342624
32,56423
32,302080
33,372234
33,180557
33,348784
33,271531
33,442610
33,311882
33,81785
33,314811
33,367
33,344066
34,172371
34,395012
34,242407
34,478956
34,124399
34,234628
34,20661
34,272017
34,97141
34,118580
35,168461
35,63958
35,162032
35,122496
35,282394
35,289
35,419805
35,386759
35,342113
35,263227
36,419712
36,127385
36,76393
36,410433
36,92058
36,231091
36,317657
36,376917
36,45313
36,13325
37,38642
37,334779
37,189078
37,179568
37,279782
37,256130
37,242387
37,276877
37,154424
37,267191
38,24642
38,434468
38,252482
38,266720
38,398634
38,271559
38,71361
38,72344
38,247042
38,416149
39,363436
39,125945
39,88965
39,164763
39,270699
39,267732
39,444586
39,371634
39,61706
39,123558
40,321141
40,198985
40,299410
40,126143
40,461626
40,458406
40,78785
40,181703
40,407702
40,376216
41,15039
41,231053
41,102838
41,336487
41,433931
41,127351
41,116659
41,135190
41,298274
41,376203
42,160681
42,208993
42,498283
42,289588
42,381527
42,390726
42,132139
42,190252
42,317867
42,321384
43,367586
43,171753
43,165246
43,96462
43,442556
43,456235
43,351331
43,401714
43,229206
43,220717
44,491788
44,491003
44,378560
44,303736
44,160298
44,459825
44,470570
44,407868
44,177915
44,144664
45,38743
45,402463
45,464718
45,173600
45,100912
45,327960
45,423837
45,240336
45,13444
45,413838
46,419
46,129286
46,139404
46,381550
46,155525
46,163370
46,277378
46,287720
46,412607
46,162887
47,343370
47,478897
47,407006
47,85236
47,73604
47,463751
47,99870
47,55777
47,177003
47,27551
48,144509
48,71786
48,62861
48,72367
48,383295
48,491144
48,236729
48,350202
48,360064
48,68556
49,106731
49,417341
49,185747
49,39108
49,164484
49,148501
49,461841
49,199361
49,301883
49,325545
50,233609
50,338102
50,248974
50,480620
50,347144
50,47803
50,316741
50,288179
50,249312
50,21837
51,240864
51,221335
51,82554
51,305922
51,152290
51,47035
51,376718
51,80884
51,368166
51,260542
52,467823
52,19554
52,361137
52,294800
52,136874
52,57514
52,199213
52,334847
52,308646
52,390362
53,323958
53,194610
53,220315
53,459994
53,307215
53,137293
53,241189
53,290276
53,213196
53,68424
54,437607
54,401785
54,151150
54,63337
54,341029
54,407454
54,293459
54,355454
54,376447
54,413025
55,388462
55,415556
55,30429
55,40726
55,224260
55,295247
55,316431
55,297581
55,478173
55,164101
56,121461
56,216628
56,179791
56,455418
56,460237
56,155274
56,48516
56,70176
56,119313
56,265503
57,393967
57,287255
57,298359
57,15177
57,8502
57,454701
57,3992
57,416413
57,20336
57,856
58,415780
58,497300
58,323613
58,197531
58,460154
58,152493
58,34408
58,122797
58,154839
58,235272
59,206387
59,95634
59,268847
59,202275
59,449525
59,493135
59,321553
59,259578
59,244717
59,364171
60,94184
60,53417
60,171601
60,135149
60,260087
60,85833
60,119496
60,429485
60,39527
60,401535
61,447297
61,122440
61,225492
61,217836
61,10479
61,276166
61,161109
61,426025
61,112372
61,19952
62,61501
62,266852
62,91047
62,277594
62,147005
62,83286
62,293061
62,131704
62,16321
62,208853
63,138550
63,201518
63,167686
63,479472
63,273294
63,86245
63,362777
63,361599
63,450025
63,426852
64,110673
64,385068
64,105741
64,206784
64,63235
64,11770
64,345090
64,393211
64,275797
64,273456
65,250377
65,500236
65,402460
65,426911
65,368330
65,114846
65,329229
65,394336
65,167413
65,112906
66,229986
66,381134
66,236915
66,485028
66,436297
66,193667
66,260140
66,451559
66,312443
66,333934
67,189957
67,471560
67,179659
67,447167
67,205708
67,429056
67,274393
67,466136
67,155022
67,11100
68,3152
68,379148
68,65295
68,281908
68,183751
68,389230
68,60934
68,9998
68,478414
68,146729
69,252532
69,404810
69,425554
69,110524
69,228985
69,273225
69,129058
69,416437
69,339615
69,338887
70,455175
70,17055
70,70456
70,272897
70,355140
70,289533
70,273929
70,176066
70,268710
70,359721
71,151168
71,28456
71,292051
71,392691
71,375910
71,132384
71,217563
71,4259
71,123176
71,93302
72,78449
72,247288
72,143536
72,99435
72,382245
72,281456
72,371924
72,121814
72,229695
72,417725
73,254629
73,117550
73,410759
73,387587
73,337042
73,76447
73,243059
73,208101
73,477578
73,61262
74,446101
74,438719
74,303829
74,51631
74,321787
74,263656
74,383400
74,172669
74,20423
74,166924
75,252178
75,395193
75,287885
75,437811
75,87091
75,144735
75,157014
75,90918
75,165398
75,321313
76,429577
76,206477
76,235442
76,440570
76,445621
76,430772
76,372239
76,194388
76,425812
76,454702
77,248156
77,152176
77,92299
